elo_rank,team,elo_rating
247,Burundi,1405.2
248,Yemen DPR,1404.9
249,Gotland,1403.4
250,Western Australia,1399.9
251,Tanzania,1398.9
252,Azerbaijan,1397.3
253,Turkmenistan,1397.1
254,Central African Republic,1396.1
255,Cyprus,1389.8
256,Barawa,1387.7
257,Puerto Rico,1384.0
258,Vietnam Republic,1382.4
259,Guinea-Bissau,1382.0
260,Darfur,1381.8
261,Solomon Islands,1381.2
262,Hitra,1380.1
263,Saint Vincent and the Grenadines,1380.0
264,Saint Helena,1376.8
265,Saint Pierre and Miquelon,1374.5
266,Bermuda,1374.4
267,Sint Maarten,1371.5
268,Philippines,1367.2
269,Saare County,1358.2
270,Congo,1354.3
271,Malta,1350.9
272,Eswatini,1349.7
273,Moldova,1347.4
274,Yemen,1344.2
275,Kiribati,1341.8
276,Saint Martin,1339.7
277,Singapore,1336.0
278,Hong Kong,1335.7
279,Wallis Islands and Futuna,1335.0
280,Latvia,1325.8
281,Belize,1319.7
282,Grenada,1319.2
283,Lithuania,1317.5
284,Saint Kitts and Nevis,1313.8
285,Tibet,1310.9
286,Montserrat,1303.6
287,South Sudan,1303.5
288,Samoa,1300.9
289,Saint Lucia,1294.1
290,Tuvalu,1290.2
291,Chad,1287.1
292,Falkland Islands,1269.9
293,India,1259.7
294,Aruba,1259.3
295,Frøya,1253.4
296,Mauritius,1252.3
297,Cook Islands,1242.7
298,São Tomé and Príncipe,1239.3
299,Eritrea,1239.1
300,Afghanistan,1235.6
301,Dominica,1226.0
302,Bonaire,1212.8
303,Myanmar,1203.3
304,Barbados,1197.2
305,Bangladesh,1188.6
306,Antigua and Barbuda,1180.6
307,Pakistan,1176.2
308,Gibraltar,1176.2
309,Andorra,1168.1
310,Nepal,1167.4
311,Turks and Caicos Islands,1155.6
312,Tonga,1155.5
313,Djibouti,1139.9
314,Cayman Islands,1139.6
315,British Virgin Islands,1135.0
316,Somalia,1131.8
317,Alderney,1129.1
318,Cambodia,1128.6
319,Taiwan,1125.7
320,Northern Mariana Islands,1107.8
321,United States Virgin Islands,1090.5
322,Sri Lanka,1084.3
323,American Samoa,1081.2
324,Bahamas,1077.3
325,Seychelles,1074.9
326,Mongolia,1070.0
327,Guam,1068.5
328,Maldives,1066.0
329,Liechtenstein,1062.5
330,Anguilla,1038.8
331,Laos,1035.9
332,Brunei,1003.8
333,Timor-Leste,1001.8
334,San Marino,968.7
335,Macau,960.4
336,Bhutan,954.8
